item.copper_pickaxe 銅鎬
guide.snowball.desc 雪球本身傷害不高，但可以充當其他武器的彈藥。
guide.mint_crop.name 免費薄荷！
guide.mint_crop.desc 薄荷可在雪地生態域找到，是製作藥水的材料。
guide.frost_algae.name 霜藻
guide.frost_algae.desc 霜藻不只好看，也能拿來製作藥水。
guide.cobalt_shuriken.name 鈷手裏劍
guide.cobalt_shuriken.desc 塞了刀片的雪球。太可怕了！
guide.snow_cannon.name 雪球加農砲
guide.snow_cannon.desc 這門砲會以驚人力量射出雪球，真的會痛！
guide.cobalt_ore.name 鈷礦石
guide.cobalt_ore.desc 沒有鈷就很難繼續發展，快去挖礦吧！
guide.ice_cap.name 冰帽菇
guide.ice_cap.desc 這些蘑菇摸起來冰冷，內部卻暗藏大量熱能，那正是它們鮮明光芒的來源。
guide.cobalt_ingot.name 鈷錠
guide.cobalt_ingot.desc 把礦石煉成錠。流程你已經很熟了。
guide.cobalt_spear.name 鈷矛
guide.cobalt_spear.desc 一種能把敵人刺穿的新武器。傷害較高，但不會進行橫掃攻擊，只會命中你正面對的敵人。
guide.cobalt_armour.name 鈷護甲
guide.cobalt_armour.desc 想撐過接下來的挑戰，至少得穿上一件鈷護甲。
guide.frozen_heart.name 冰凍之心
guide.frozen_heart.desc 這顆心冰冷又無情，裝備後你也會有同樣感受！這種新狀態能提升你對寒冷的抵抗力。
guide.jet_boots.name 噴射靴
guide.jet_boots.desc 這雙靴子會爆發能量，把你直接送上天。只要記得想好怎麼安全落地，別摔成一攤就好。
guide.gecko_gloves.name 壁虎手套
guide.gecko_gloves.desc 壁虎有超厲害的爬牆能力，而戴上這雙手套後，你也有！
guide.giant_snowball.name 巨大雪球
guide.giant_snowball.desc 巨大雪人就需要巨大雪球。
guide.evil_tophat.name 邪惡高帽
guide.evil_tophat.desc 在地城深處，把雪球和帽子放到基座上，就能讓它活過來。
guide.spawn_snow_boss.name 雪之精靈
guide.spawn_snow_boss.desc 這傢伙冷到骨子裡。
guide.ice_pickaxe.name 冰鎬
guide.ice_pickaxe.desc 有了這把鎬，你現在能挖掘新的方塊，例如雪地地城牆，以及沙漠中的部分資源。
guide.snow_dungeon_bricks.name 雪地地城磚
guide.snow_dungeon_bricks.desc 接招吧，煩人的地城！反正我本來就不喜歡你。
guide.to_the_desert.name 前往沙漠！
guide.to_the_desert.desc 冒險的下一站是沙漠生態域。不過想往上走之前，你得先往下挖！
guide.palladium_ore.name 鈀礦石
guide.palladium_ore.desc 這是沙漠的代表金屬。
guide.palladium_ingot.name 鈀錠
guide.palladium_ingot.desc 精煉後的鈀，很適合製作工具、武器與鑰匙。
guide.desert_key_fragment.name 鑰匙碎片
guide.desert_key_fragment.desc 可在地下遺跡中找到。
guide.desert_key.name 沙漠鑰匙
guide.desert_key.desc 用來開啟沙漠地城大門的鑰匙。
guide.make_table.name 桌子
guide.make_table.desc 桌子很酷。沒有桌子就吃飯會讓心情獲得 -3 減益。（才怪）
guide.make_lamp.name 燈
guide.make_lamp.desc 這是一盞可用於裝飾的基本燈具。替燈罩上色也會改變燈光顏色。
guide.desert_shuriken.name 沙漠手裏劍
guide.desert_shuriken.desc 這是以仙人掌與鈀製成的強化手裏劍，尖刺威力十足。
guide.desert_glider.name 沙漠滑翔翼
guide.desert_glider.desc 這款滑翔翼的飛行速度是普通款的兩倍，從沙漠地城屋頂下降時非常實用。
guide.cool_sword.name 酷炫之劍
guide.cool_sword.desc 這把酷炫的劍暫時為你的成長旅程畫下句點。希望你玩得開心 :) 

item_tag.can_place 可放置
item_tag.can_consume 可食用
item_tag.axe_power 斧力
item_tag.pickaxe_power 鎬力
item_tag.swing_speed 冷卻時間
item_tag.hammer 錘力
item_tag.cant_mine 無法挖掘
item_tag.restores_health 恢復
item_tag.melee_damage 近戰
item_tag.defence 防禦
item_tag.required_ammo 所需彈藥
item_tag.ammo 彈藥
item_tag.ranged_damage 遠程
item_tag.trinket 飾品
item_tag.can_block 可格擋
item_tag.knockback 擊退
item_tag.demo_locked 試玩版鎖定
item_tag.material_level 材料等級

settings.field_of_view 視野
settings.max_fps 最大 FPS
settings.render_distance 渲染距離
settings.mouse_sensitivity 視角靈敏度
settings.master_volume 主音量
settings.max_mesh_threads 最大網格處理執行緒
settings.max_mesh_uploads 每幀最大網格上傳數
settings.show_control_hints 顯示操作提示
settings.auto_scale_ui 自動縮放介面
settings.manual_ui_scale 手動介面縮放
settings.world_volume 世界音量
settings.music_volume 音樂音量
settings.ui_volume 介面／玩家音量
settings.ambient_volume 環境音量
settings.autosave_interval 自動儲存間隔（分鐘）
settings.autosave_enabled 自動儲存
settings.autosave_indicator 自動儲存提示
settings.panicsave_enabled 當機時建立復原存檔
settings.view_bobbing 視角晃動
settings.screen_shake 畫面震動
settings.allow_noclip 允許穿牆
settings.allow_infinite_item 無限物品
settings.allow_creative_menu 允許創造模式選單
settings.allow_godmode 無敵模式
settings.mob_spawning 怪物生成
settings.current_language 目前語言
settings.language_info 請重新啟動遊戲以完整套用語言設定。
settings.cave_culling 洞穴剔除
settings.header_basic 基本
settings.vsync 垂直同步
settings.view_bobbing_intensity 晃動強度
settings.header_user_interface 使用者介面
settings.header_advanced 進階
settings.pixel_scale 像素縮放
settings.dither_shader 抖色著色器
settings.invert_mouse 反轉視角
settings.leaf_sway 樹葉擺動
settings.dynamic_light 動態光源
settings.disable_launch_message 停用啟動訊息
settings.show_day_count 顯示天數
settings.infinite_stamina 無限耐力
settings.edit_adventure_blocks 編輯冒險方塊
settings.disable_mobs 停用怪物
settings.header_controls 操作
settings.header_keybinds 按鍵綁定
settings.slab_placement_mode 垂直放置模式
settings.reset_shape_on_swap 切換物品時重設形狀
settings.world_settings 世界權限
settings.player_settings 玩家權限
settings.button_reset_keybinds 重設按鍵綁定
settings.audio_header 音訊
settings.misc_header 其他
settings.assets_info 資產包
settings.button_open_assets 開啟資產包資料夾
settings.camera_header 鏡頭
settings.animated_textures 動態材質
settings.header_experimental 實驗性設定
settings.show_aurora 顯示極光
settings.fluffy_clouds 蓬鬆雲朵
settings.field_of_view_viewmodel 第一人稱模型（手部）視野 
settings.show_compendium_popup 顯示圖鑑彈出提示

settings_category.camera 鏡頭
settings_category.video 影像
settings_category.audio 音訊
settings_category.controls 操作
settings_category.misc 其他
settings_category.keybinds 按鍵綁定
settings_category.cheats 作弊
settings_category.language 語言
settings_category.assets 資產包

permission.allow_noclip 允許穿牆
permission.allow_infinite_item 無限物品
permission.allow_creative_menu 創造模式選單
permission.allow_godmode 無敵模式
permission.instant_break 瞬間破壞方塊
permission.infinite_stamina 無限耐力
permission.edit_adventure_blocks 編輯冒險方塊
permission.enable_pvp 啟用 PVP

control_hint.open_inventory 開啟物品欄
control_hint.close_inventory 關閉物品欄
control_hint.close_menu 關閉選單
control_hint.split_stack 拆分堆疊
control_hint.take_stack 拿取整疊
control_hint.drop_one 丟棄一個
control_hint.drop_stack 丟棄整疊
control_hint.craft_one 製作一個
control_hint.toggle_creative 切換創造模式
control_hint.use 使用
control_hint.use_item 使用物品
control_hint.place_item 放置物品
control_hint.punch 揮拳
control_hint.unequip 裝備
control_hint.equip 卸下
control_hint.change_shape 變更形狀
control_hint.show_recipes 顯示配方

settings.third_person_header 第三人稱
settings.third_person_mode 第三人稱模式
settings.auto_backups 自動備份
settings.files_header 檔案位置
settings.button_open_backups 開啟備份資料夾
settings.button_open_save 開啟存檔資料夾
settings.button_open_skins 開啟造型資料夾
settings.chunk_mesh_unload_time 區塊網格卸載等待秒數
keybind.toggle_third_person 切換第三人稱

keybind.move_forward 向前移動
keybind.move_backward 向後移動
keybind.move_left 向左移動
keybind.move_right 向右移動
keybind.fly_down 向下飛行
keybind.fly_up 向上飛行
keybind.jump 跳躍
keybind.noclip 穿牆
keybind.place 放置／使用
keybind.punch 揮拳
keybind.place_modifier 放置修飾鍵
keybind.open_inventory 開啟物品欄
keybind.toggle_creative_menu 切換創造模式選單
keybind.drop_item 丟棄物品
keybind.drop_modifier 丟棄物品修飾鍵
keybind.pause 暫停
keybind.ui_confirm 介面確認
keybind.ui_secondary 介面次要操作
keybind.open_compendium 開啟圖鑑
keybind.quick_heal 快速治療
keybind.quick_buff 快速增益
keybind.toggle_debug 切換偵錯資訊
keybind.toggle_profiler 切換效能分析資訊
keybind.toggle_fullscreen 切換全螢幕
keybind.ui_up 介面向上
keybind.ui_down 介面向下
keybind.ui_left 介面向左
keybind.ui_right 介面向右
keybind.hotbar1 快捷列欄位 1
keybind.hotbar2 快捷列欄位 2
keybind.hotbar3 快捷列欄位 3
keybind.hotbar4 快捷列欄位 4
keybind.hotbar5 快捷列欄位 5
keybind.hotbar6 快捷列欄位 6
keybind.hotbar7 快捷列欄位 7
keybind.hotbar8 快捷列欄位 8
keybind.hotbar9 快捷列欄位 9
keybind.hotbar10 快捷列欄位 10
keybind.hotbar11 快捷列欄位 11
keybind.hotbar12 快捷列欄位 12
keybind.open_chat 開啟聊天
keybind.send_chat 傳送訊息
keybind.toggle_hud 切換 HUD
keybind.take_screenshot 擷取螢幕截圖
keybind.open_radial 開啟圓盤選單
keybind.sneak 潛行（需飾品）
keybind.sprint 衝刺（需飾品）
keybind.show_use 顯示物品用途
keybind.show_recipe 顯示物品配方
keybind.pick_block 選取方塊
keybind.scroll_up 向上捲動
keybind.scroll_down 向下捲動
keybind.favourite_item 收藏物品
keybind.fish_left 向左收魚線
keybind.fish_right 向右收魚線
keybind.hotbar_left 快捷列向左
keybind.hotbar_right 快捷列向右
keybind.move_stack_modifier 移動整疊修飾鍵
keybind.delete_stack_modifier 刪除整疊修飾鍵


ammo.arrow 箭矢
ammo.rock 石塊
ammo.bullet 子彈
ammo.snowball 雪球
ammo.shuriken 手裏劍
ammo.coconut 椰子
ammo.glass 玻璃

effect.poison 中毒
effect.desc.poison 持續受到傷害。
effect.regen 再生
effect.desc.regen 隨時間緩慢恢復生命。
effect.wet 潮濕
effect.desc.wet 你全身都濕透了。
effect.slowfall 緩降
effect.desc.slowfall 下落速度變慢，且不會受到墜落傷害。
effect.fire 燃燒
effect.desc.fire 你著火了！！！
effect.healcooldown 剛接受治療
effect.desc.healcooldown 必須稍等一下才能再次治療。
effect.freezing 冰凍中
effect.desc.freezing 你正因寒冷而受到傷害。
effect.fast 加速
effect.desc.fast 你的移動速度提高。
effect.slow 緩慢
effect.desc.slow 你的移動速度降低。
effect.anchored 定身
effect.desc.anchored 你被固定在原地。
effect.frozen 凍結
effect.desc.frozen 你被凍住了，什麼都做不了！
effect.watched 被監視
effect.desc.watched ……
effect.flight 飛行
effect.desc.flight 可進行短暫飛行衝刺
effect.regen_potion 再生（藥水）
effect.desc.regen_potion 你的生命值正在緩慢恢復。
effect.armoured 護甲強化
effect.desc.armoured 防禦提高 4 點。

effect.concussion 腦震盪
effect.desc.concussion 好痛！移動速度降低。
effect.snack 小點心
effect.desc.snack 你吃了點心，能力獲得些微提升。
effect.small_meal 簡餐
effect.desc.small_meal 你吃了一頓簡餐，能力小幅提升。
effect.webbed 被蛛網纏住
effect.desc.webbed 你被蜘蛛網纏住了。

effect.water_walking 水上行走
effect.desc.water_walking 你可以在水面行走。
effect.crate_potion 木箱藥水
effect.desc.crate_potion 釣到木箱的機率提高。

effect.fast_mining 快速採礦
effect.desc.fast_mining 提高採礦速度。

crafting_station.inventory 徒手製作
crafting_station.work_bench 工作台
crafting_station.furnace 熔爐
crafting_station.anvil 鐵砧
crafting_station.decorations 裝飾台
crafting_station.potions 藥水台

loading.tip0 敵人只會在自然生成的方塊上出現。
loading.tip1 靠近工作站即可使用該工作站製作物品。
loading.tip2 你可以用「變更形狀」按鍵改變任何方塊的形狀。
loading.tip3 農田留有空位時，作物可能發生突變。
loading.tip4 小心地下與地城中的陷阱。
loading.tip5 軌道可以倒著放，也能鋪在牆上。
loading.tip6 火把無法阻止地下生成怪物。
loading.tip7 使用重生指標設定重生點。
loading.tip8 迷路時可使用返回藥水回家。
loading.tip9 麵包比鑰匙好吃。
loading.tip10 你可以自動把物品堆疊到附近的寶箱。
loading.tip11 你可以整理物品欄。
loading.tip12 有些武器可以格擋敵人的攻擊。
loading.tip13 使用裝飾台可以製作許多酷炫物品。
loading.tip14 使用燧石與工作台製作工具。
loading.tip15 夠強的鎬能一路挖穿到另一邊。
loading.tip16 有時候，筆直往下挖其實是個好主意。
loading.tip17 如果發現錯誤，請到 Discord 回報。
loading.tip18 有意見想分享嗎？加入 Discord 或填寫意見回饋表吧。
loading.tip19 工具耐久度並不存在，也傷害不了你。
loading.tip20 如果讓花園裡的雜草繼續生長，它們可能會突變……
loading.tip21 放置 NPC 房屋告示牌，居民才會搬進來。
loading.tip22 打首領時打籃球，說不定會有幫助。
loading.tip23 心之甜菜可以提高最大生命值。
loading.tip24 爆炸箭在近距離戰鬥中很危險。
loading.tip25 作物只有澆水後才會生長。

colour.clear 清除
colour.white 白色
colour.grey 淺灰色
colour.dark_grey 深灰色
colour.black 黑色
colour.red 紅色
colour.orange 橘色
colour.yellow 黃色
colour.lime 萊姆綠
colour.green 綠色
colour.turqoise 綠松石色
colour.blue 藍色
colour.dark_blue 深藍色
colour.purple 紫色
colour.pink 粉紅色
colour.light_pink 淺粉紅色
colour.brown 棕色
colour.algae 藻綠色
colour.moss 苔蘚綠
colour.forest 森林綠
colour.ocean 海洋藍
colour.mud 泥土色
colour.clay 黏土色
colour.sand 沙色
colour.powder 粉末色
colour.none 無
colour.orange_sherbet 柳橙雪酪
colour.lemon_yellow 檸檬黃
colour.pale_yellow 淡黃色
colour.mint 薄荷綠
colour.baby_blue 嬰兒藍
colour.lavender 薰衣草紫
colour.pastel_pink 粉彩粉紅
colour.transparent_black 透明黑（文字用）
colour.blank 空白
colour.pastel_yellow 粉彩黃
colour.pastel_blue 粉彩藍
colour.pixel_red 像素紅
colour.pixel_orange 像素橘
colour.pixel_yellow 像素黃
colour.pixel_lime 像素萊姆綠
colour.pixel_green 像素綠
colour.pixel_dark_green 像素深綠
colour.pixel_blue 像素藍
colour.pixel_light_blue 像素淺藍
colour.pixel_velvet 像素絨紅
colour.pixel_maroon 像素栗紅
colour.pixel_rust 像素鏽紅
colour.pixel_brown 像素棕
colour.pixel_navy 像素海軍藍
colour.pixel_violet 像素紫羅蘭
colour.pixel_purple 像素紫
colour.pixel_pink 像素粉紅
colour.grey_32 灰色 12%
colour.grey_64 灰色 25%
colour.grey_128 灰色 50%
colour.grey_192 灰色 75%
colour.grey_224 灰色 88%
colour.red_earth 紅土色
colour.sunset_orange 夕陽橘
colour.deep_orange 深橘色
colour.desert_red 沙漠紅
colour.victorian_plum 維多利亞梅紫
colour.desert_pink 沙漠粉紅
colour.desert_brown 沙漠棕
colour.golden_brown 金棕色
colour.sandstone 砂岩色
colour.desert_sand 沙漠沙色
colour.potato 馬鈴薯色
colour.desert_blue 沙漠藍

comfort.room_size.too_big 這裡不是封閉空間。
comfort.room_size.too_small 這個房間太小了。
comfort.room_size.pass 房間大小恰到好處。

comfort.room_light.too_dark 這個區域太暗了。
comfort.room_light.too_bright 這個區域太亮了。
comfort.room_light.pass 這個區域照明充足。

comfort.room_sunlight.too_dark 日照不足。
comfort.room_sunlight.too_bright 日照太強。
comfort.room_sunlight.no_direct 沒有陽光直射。
comfort.room_sunlight.pass 日照量恰到好處。

comfort.room_lava.no_lava 熔岩不夠多。
comfort.room_lava.pass 熔岩量足夠。

comfort.room_crafting.no_furnace 沒有熔爐。
comfort.room_crafting.no_workbench 沒有工作台。
comfort.room_crafting.no_decoration 沒有裝飾台。
comfort.room_crafting.pass 製作設施足夠。

comfort.Horrified.as_player 感覺毛骨悚然。
comfort.Inhospitable.as_player 感覺不太對勁。
comfort.Uncomfortable.as_player 感覺不太舒服。
comfort.Acceptable.as_player 感覺還可以。
comfort.Comfortable.as_player 感覺很舒適。
comfort.VeryComfortable.as_player 感覺非常溫馨。

comfort.Horrified.as_npc 這地方太可怕了！你到底做了什麼！？
comfort.Inhospitable.as_npc 我一點都不喜歡這裡！
comfort.Uncomfortable.as_npc 這裡不太好……待著讓我很不舒服。
comfort.Acceptable.as_npc 這裡還行吧……大概。
comfort.Comfortable.as_npc 我喜歡這裡，一切都很好。
comfort.VeryComfortable.as_npc 這裡太棒了！我住得很開心。

npc.merchant.name 商人
npc.merchant.generic0 燈油、繩子、炸彈？你想要？可惜，我只有其中一樣。
npc.merchant.generic1 你要是肯信，我以前其實是一個方塊。好吧，這可能有點太扯了……
npc.merchant.generic2 喜歡我的帽子嗎？它渾身都散發著奢華氣息。是不是讓你突然很想買點東西？
npc.merchant.generic3 朋友，最近好嗎？也許買點商品能讓你心情好起來！
npc.merchant.generic4 我是商人。我賣東西。快買。
npc.merchant.generic5 別那樣呆呆盯著我看，快把你的錢分我一點！
npc.merchant.generic6 相信我，我一點都不鬼祟。我連運動鞋都還沒找到呢！
npc.merchant.generic7 我最近在考慮改成訂閱制，你覺得怎麼樣？
npc.merchant.generic8 謝謝你來看看我。知道什麼最能讓我開心嗎？買點東西！
npc.merchant.generic9 別擔心，我的貨永遠賣不完。你問為什麼？嘿，我有我的管道！
npc.merchant.refuse0 我的居住環境改善之前，什麼都不賣你！
npc.merchant.refuse1 這地方實在糟透了。拜託把這間可怕的住處整理好！
npc.merchant.refuse2 這種房間叫我怎麼做生意？這根本配不上像我這樣有身分的紳士！

npc.blacksmith.name 鐵匠
npc.blacksmith.generic0 來鍛這塊錠吧，用錘子把它敲到完美！
npc.blacksmith.generic1 我以前知道怎麼敲開晶洞，但現在忘了。也許哪天會想起來。
npc.blacksmith.generic2 你問我的手指怎麼沒的？嗯，我挖鼻孔時卡住了。那眼睛呢？你不會想知道的…… 
npc.blacksmith.generic3 聽說有位傳奇鐵匠曾打造出某種「劇情護甲」。故事有點長，不過最後一切都還好。
npc.blacksmith.generic4 每到一座新城鎮，我總是直奔鐵匠鋪。那裡通常都有些好東西。
npc.blacksmith.generic5 把你所有家當都熔成一大坨不定形金屬，搬運起來其實方便多了。
npc.blacksmith.generic6 聽說森林深處的地下有一種比黃金還強韌的花。有時候往下挖也值得。
npc.blacksmith.generic7 永遠要淬鍊你的期待，也要淬鍊你的金屬。
npc.blacksmith.generic8 你喜歡叫它金屬錠還是金屬條？反正我都是拿錘子敲。
npc.blacksmith.generic9 有些礦石需要更強的鎬才能挖。我聽說森林地城裡有一把很強的鎬。
npc.blacksmith.refuse0 沒有合適設備，我什麼都不能賣你。能不能幫我弄一間更好的房間？
npc.blacksmith.refuse1 這房間勉強能住，但要做生意，我需要更好的工作環境。
npc.blacksmith.refuse2 我想念熔爐的熱度。能不能先放點熔岩，讓這裡熱鬧一點？

npc.farmer.name 農夫
npc.farmer.generic0 最近我決定研究現代農耕技術，比如「互動農場」那一套。
npc.farmer.generic1 如果你有興趣，我這裡備有各種農耕用品。 
npc.farmer.generic2 植物周圍留點空間，它們可能會自行蔓延。有時還會突變成完全不同的植物。
npc.farmer.generic3 雜草是很煩，不過放著一陣子，說不定會長出新的東西。
npc.farmer.generic4 不想親自澆水的話，記得放灑水器。它能自動澆灌 5×5 範圍內的植物。
npc.farmer.generic5 植物能拿來製作各式藥水。這不是我的專長，不過聽說藍莓是很棒的試劑。
npc.farmer.generic6 不用擔心我的貨品質。相信我，我可不是什麼「種子很多」的可疑人物。
npc.farmer.generic7 就算你對種田沒興趣，翻土也是取得蚯蚓的好方法。我自己不覺得蚯蚓特別好吃，但我不會批評你。
npc.farmer.generic8 有些植物只能靠探索取得。你不可能在同一個地方找到所有東西。
npc.farmer.generic9 植物喜歡濕潤土壤，雜草也一樣。雜草蔓延得比作物快多了，小心！
npc.farmer.refuse0 我的貨可不是憑空冒出來的，我需要地方工作。能替我蓋一座溫室嗎？
npc.farmer.refuse1 我想讓陽光照在身上。在跟你交易前，我希望先有更合適的住處。
npc.farmer.refuse2 這房間暗到根本種不了植物。我需要陽光！

npc.builder.name 建築師
npc.builder.generic0 我最喜歡蓋棕色磚塊了！這是全世界最好、最好玩的事！
npc.builder.generic1 我賣很多實用建材。壁紙、油漆、裝飾品，我全都有！
npc.builder.generic2 我以前有個客戶堅持住在沒有照明、與世隔絕的房間。我還以為他是吸血鬼，結果只是討厭窗戶。
npc.builder.generic3 如果有人委託你鋪米色壁紙和地毯，千萬拒絕！我犯過一次這種錯，工程怎樣都做不完，那些房間根本沒有盡頭！
npc.builder.generic4 別忘了，改變方塊形狀不一定需要錘子。手上拿著方塊時可以開啟選單，而且遊戲會記住你選的形狀！
npc.builder.generic5 大多數方塊都能重新塑形，連奇怪的也行。要蓋泥土小屋的話，至少圍一圈泥土柵欄吧！
npc.builder.generic6 不喜歡燈光顏色？上漆就好！油漆會替光源染色，改變它發出的光。
npc.builder.generic7 如果方塊沒有專用的上色材質，白色油漆大概不會有效果。油漆只是替方塊套上色調，所以黑色方塊染色後還是黑的。
npc.builder.generic8 想在房間之間做薄牆，壁紙非常好用。壁紙基底方塊的兩面可以分別套用不同壁紙。
npc.builder.generic9 記得蓋在穩固的地基上。不然你可能會花三個月處理網路程式碼！
npc.builder.refuse0 在我賣東西給你之前，能不能改善一下我的工作空間？我需要地方製作東西。
npc.builder.refuse1 我需要一些製作設施，才能準備要賣給你的商品。
npc.builder.refuse2 抱歉，在有合適的製作設施之前，我恐怕什麼都做不了。

ui.generic.apply 套用
ui.generic.back 返回
ui.generic.info 資訊
ui.generic.delete 刪除
ui.generic.up 上移
ui.generic.down 下移
ui.generic.click_here 按這裡！

ui.generic.open_compendium 從暫停選單開啟圖鑑，即可隱藏此訊息。

ui.inventory.sort 整理物品欄
ui.inventory.toggle_large_craft 大型模式
ui.inventory.stack_nearby 堆疊至附近寶箱
ui.inventory.toggle_creative 創造模式物品欄

item_category.all 全部
item_category.blocks 方塊
item_category.items 物品
item_category.technical 技術
item_category.weapons 武器
item_category.tools 工具
item_category.decoration 裝飾
item_category.natural 自然

settings.fullscreen 全螢幕
guide.biomes.desc 生態域有不同難度。太早進入雪地或沙漠會非常危險！森林是最容易的生態域，請先從森林開始。
guide.biomes.name 先從森林開始！
guide.night_danger.desc 第一個夜晚最為艱難。你不容易直接跳過夜晚，所以先準備一個安全的地方！盡快取得護甲和工具，也別害怕下礦。
guide.night_danger.name 黑夜將至！
item.health_potion.desc 恢復 100 點生命值
item.thick_palm_log 粗棕櫚原木
ui.character_creation.title 建立角色


community.literal.0155.allumeria-blocks-blockentities-blockentitychest.onrightclick.002 這個寶箱正由另一名玩家使用。
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.movein.002 {0} 搬進了 {1}
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.movein.003 {0} 搬進了未命名房間
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.moveout.002 {0} 搬離了 {1}
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.moveout.003 {0} 搬離了未命名房間
community.literal.0155.allumeria-blocks-blockentities-blockentitynpcsign.onrightclick.001 只有主機可以指派房間。
community.literal.0155.allumeria-blocks-blocks-blockdoor.onrightclick.002 門已上鎖，需要 {0} 才能開啟！
community.literal.0155.allumeria-blocks-blocks-blockspawnpointer.onrightclick.003 已設定重生點！（{0}）
community.literal.0155.allumeria-chunkmanagement-chunk.calculatevisibility.001 區塊可見性計算失敗
community.literal.0155.allumeria-comfort-townmanager.printtownstatus.001 {0} 居民：{1}
community.literal.0155.allumeria-comfort-townmanager.printtownstatus.003 {0}－有效：{1}
community.literal.0155.allumeria-comfort-townmanager.printtownstatus.005 房屋數量：{0}
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.007 正在初始化……
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.009 正在載入 {0}
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.010 正在載入維度資訊
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.012 正在載入調色盤資訊
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.013 正在載入世界
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.014 正在載入世界資訊
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.020 正在讀取世界資料
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.021 開始載入
community.literal.0155.allumeria-datamanagement-saving-gamesaver.loadgame.022 未知名稱
community.literal.0155.allumeria-entitysystem-components-fishingcomponent.renderminigame.002 {0}－新紀錄！
community.literal.0155.allumeria-entitysystem-entities-bosses-bosssnow.initboss.001 雪之精靈
community.literal.0155.allumeria-entitysystem-entities-bosses-bosssnow.initboss.002 雪之精靈已被召喚！
community.literal.0155.allumeria-entitysystem-entities-bosses-bosstest.initboss.001 森林精靈
community.literal.0155.allumeria-entitysystem-entities-bosses-bosstest.initboss.002 森林精靈降臨，恢復自然平衡！
community.literal.0155.allumeria-entitysystem-entities-bosses-bossworm.initboss.001 沙漠巨蟲
community.literal.0155.allumeria-entitysystem-entities-bosses-bossworm.initboss.002 沙漠巨蟲破沙而出！
community.literal.0155.allumeria-entitysystem-entities-playerentity.die.001 {0} 死了！
community.literal.0155.allumeria-entitysystem-entities-playerentity.die.002 {0} 死了！{1}
community.literal.0155.allumeria-entitysystem-entities-projectiles-throwing-basketball.score.001 得分！距離：{0}
community.literal.0155.allumeria-entitysystem-entities-walkers-punchingbag.tick.001 每秒傷害：{0}
community.literal.0155.allumeria-game.onrenderframe.002 第 {0} 天
community.literal.0155.allumeria-game.onrenderframe.003 螢幕截圖已儲存
community.literal.0155.allumeria-game.renderloadscreen.001 正在載入 Allumeria
community.literal.0155.allumeria-items-itemtypes-itembosssummon.canconsume.001 只能在夜晚召喚
community.literal.0155.allumeria-items-itemtypes-itemdoorlocker.onuse.001 門已上鎖！
community.literal.0155.allumeria-items-itemtypes-itementwiner.onuse.001 {0} 不是有效的纏結目的地。
community.literal.0155.allumeria-items-itemtypes-itementwiner.onuse.002 {0} 不是有效的纏結來源。
community.literal.0155.allumeria-items-itemtypes-itementwiner.onuse.003 已設定位置 1：{0}
community.literal.0155.allumeria-items-itemtypes-itementwiner.onuse.004 已設定位置 2：{0}
community.literal.0155.allumeria-items-itemtypes-itementwiner.onuse.005 這個目的地距離太遠
community.literal.0155.allumeria-items-itemtypes-itemkey.onuse.001 門鎖已解除！
community.literal.0155.allumeria-items-itemtypes-toys-itemdice.onuse.001 {0} 擲出了 {1}
community.literal.0155.allumeria-items-itemtypes-toys-itemeightball.onuse.001 {0} 的魔法 8 號球：{1}
community.literal.0155.allumeria-networking-client.clientreadthread.001 已與伺服器中斷連線。\n原因：{0}
community.literal.0155.allumeria-networking-client.clientreadthread.002 已與伺服器中斷連線：{0}
community.literal.0155.allumeria-networking-client.start.004 正在連線至多人遊戲
community.literal.0155.allumeria-networking-client.start.005 連線成功
community.literal.0155.allumeria-networking-client.start.006 無法連線至伺服器：{0}
community.literal.0155.allumeria-networking-client.start.007 正在啟動多人遊戲連線
community.literal.0155.allumeria-networking-packets-packetentityadd.decode.001 無法新增實體：{0}
community.literal.0155.allumeria-networking-packets-packetkick.performaction.002 原因：{0}
community.literal.0155.allumeria-networking-packets-packetkick.performaction.003 `fg=5`已被踢出伺服器
community.literal.0155.allumeria-networking-packets-packetplayerdata.decode.001 玩家回報自己的名稱為「未知名稱」！
community.literal.0155.allumeria-networking-packets-packetplayerdata.performaction.001 {0} 加入了遊戲。
community.literal.0155.allumeria-networking-server.processclientthread.002 {0} 已離開。
community.literal.0155.allumeria-networking-server.processclientthread.003 用戶端已中斷連線：{0}
community.literal.0155.allumeria-networking-steamclientconnection.ondisconnected.001 已與伺服器中斷連線。\n原因：Steam 連線階段已結束 {0}
community.literal.0155.allumeria-networking-steamserverconnection.onconnected.001 {0} 已加入遊戲
